Project Name,2020 Price,2021 Price,2022 Price,2023 Price,2024 Price,2025 Price,2026 Price,Appreciation,Appreciation_Clean_%,Area,Community Type,DWC Travel Time,DXB Travel Time,Developer,Downtown Travel Time,File1 Appreciation,ID,Launch Year,Marina Travel Time,Master Community,PPSM,Price_Segment,Price_Vs_Community_Avg_%,Project_Stage,Projected_CAGR_24_26,Rental Yield %,Service Charge,Start Price,Unit Type
Wavez,800,890,990,"1,140","1,290","1,430","1,540",+75% (Since 2020),75,Liwan,Suburban Urban,25m,20m,Danube Properties,15m,,339,2019,25m,Liwan,750,Unknown,,Established,0.092610841,7.5,12,"400,000",Apartments
Jewelz,850,950,"1,060","1,220","1,380","1,530","1,650",+78% (Since 2020),78,Arjan,Urban/Modern,20m,25m,Danube Properties,20m,,338,2018,15m,Arjan,,Affordable,,Established,0.093458812,7.5,13.5,"500,000",Apartments
Resortz,900,"1,000","1,110","1,270","1,430","1,580","1,700",+72% (Since 2020),72,Arjan,Theme/Modern,20m,25m,Danube Properties,20m,,340,2017,15m,Arjan,,Affordable,,Established,0.090326185,7.5,14,"550,000",Apartments
Miraclz,850,940,"1,040","1,190","1,340","1,480","1,580",+70% (Since 2020),70,Arjan,Urban/Modern,20m,25m,Danube Properties,20m,,341,2016,15m,Arjan,,Affordable,,Established,0.085865773,7.5,13.5,"500,000",Apartments
Binghatti Skyrise,,,,,"1,800","1,990","2,110",+12%,12,Business Bay,High-Rise Urban,35m,15m,Binghatti,5m,,342,2024,20m,Bus Bay,,Mid-Range,,Under Construction / New,0.082692118,,18,"2,200,000",Apartments
Binghatti Aquarise,,,,,"2,300,000","2,100","2,180",+8%,8,Business Bay,High-Rise Urban,35m,15m,Binghatti,5m,,343,2025,20m,Bus Bay,,Mid-Range,,Under Construction / New,,,18.5,"2,300,000",Apartments
Binghatti Ghost,,,,,"1,500","1,690","1,810",+15%,15,Al Jaddaf,Urban/Modern,35m,10m,Binghatti,10m,,344,2024,25m,Al Jaddaf,,Affordable,,Under Construction / New,0.098483804,7,14.5,"1,100,000",Apartments
Bugatti Residences,,,,"4,500","5,510","6,530","7,220",+45%,45,Business Bay,Ultra-Luxury,35m,15m,Binghatti,5m,,346,2023,20m,Bus Bay,,Luxury,,Recently Delivered,0.144702943,,50,"19,000,000",Branded Apt
One by Binghatti,,,,,"1,900","2,120","2,270",+14%,14,Business Bay,High-Rise Urban,35m,15m,Binghatti,5m,,345,2024,20m,Bus Bay,,Mid-Range,,Under Construction / New,0.093040183,,19,"2,500,000",Apartments
Jacob & Co Burj,,,"4,000","4,980","5,980","6,970","7,670",+55%,55,Business Bay,Ultra-Luxury,35m,15m,Binghatti,5m,,347,2022,20m,Bus Bay,,Luxury,,Recently Delivered,0.132523155,,55,"8,200,000",Penthouses
Trillionaire,,,,"2,100","2,450","2,790","3,030",+38%,38,Business Bay,Waterfront/Modern,35m,15m,Binghatti,5m,,348,2023,20m,Bus Bay,,Mid-Range,,Recently Delivered,0.11208574,,21,"1,600,000",Apartments
Binghatti Cullinan,,,,,"2,000","2,260","2,430",+15%,15,Business Bay,High-Rise Modern,35m,15m,Binghatti,5m,,350,2024,20m,Bus Bay,,Mid-Range,,Under Construction / New,0.102270384,,20,"2,100,000",Apartments
Mercedes-Benz,,,,,"4,200","4,850","5,260",+18%,18,Downtown,Ultra-Luxury,35m,15m,Binghatti,0m,,349,2024,20m,Downtown,,Luxury,,Under Construction / New,0.119098276,,45,"8,800,000",Branded Apt
Binghatti Hills 2,,,,,"1,150","1,340","1,460",+18%,18,Science Park,Low-Rise Urban,25m,25m,Binghatti,20m,,352,2024,15m,Science Park,,Affordable,,Under Construction / New,0.126749847,7.5,14,"890,000",Apartments
Binghatti Hills 1,,,,,"1,100","1,300","1,430",+22%,22,Science Park,Low-Rise Urban,25m,25m,Binghatti,20m,,351,2024,15m,Science Park,,Affordable,,Under Construction / New,0.140175425,7.5,14,"850,000",Apartments
Binghatti Galaxy 1,,,,,"1,250","1,450","1,570",+16%,16,JVC,Urban/Modern,25m,25m,Binghatti,20m,,355,2024,15m,JVC,,Affordable,,Under Construction / New,0.120714058,7.5,14.5,"850,000",Apartments
Binghatti Aurora,,,,,"1,180","1,340","1,440",+14%,14,JVC,Urban/Family,25m,25m,Binghatti,20m,,354,2024,15m,JVC,,Affordable,,Under Construction / New,0.104689541,7.5,14.5,"900,000",Apartments
Binghatti Royale,,,,,"1,200","1,370","1,480",+15%,15,JVC,Urban/Family,25m,25m,Binghatti,20m,,353,2024,15m,JVC,,Affordable,,Under Construction / New,0.110555417,7.5,14.5,"950,000",Apartments
Binghatti Galaxy 2,,,,,"1,280","1,460","1,570",+14%,14,JVC,Urban/Modern,25m,25m,Binghatti,20m,,356,2024,15m,JVC,,Affordable,,Under Construction / New,0.107502822,7.5,14.5,"880,000",Apartments
Binghatti Phoenix,,,,,"1,200","1,370","1,480",+15%,15,JVC,Urban/Modern,25m,25m,Binghatti,20m,,358,2024,15m,JVC,,Affordable,,Under Construction / New,0.110555417,7.5,14.5,"800,000",Apartments
Binghatti Phantom,,,,,"1,300","1,450","1,540",+12%,12,JVC,High-Rise Modern,25m,25m,Binghatti,20m,,357,2024,15m,JVC,,Affordable,,Under Construction / New,0.088400379,7.5,14.5,"950,000",Apartments
Binghatti Dawn,,,,,"890,000","1,320","1,390",+11%,11,JVC,Urban/Modern,25m,25m,Binghatti,20m,,360,2024,15m,JVC,,Affordable,,Under Construction / New,,7.5,14.5,"890,000",Apartments
Binghatti Twilight,,,,,"920,000","1,300","1,370",+10%,10,JVC,Urban/Modern,25m,25m,Binghatti,20m,,359,2024,15m,JVC,,Affordable,,Under Construction / New,,7.5,14.5,"920,000",Apartments
Binghatti House,,,,"1,200","1,400","1,600","1,740",+32%,32,JVC,Urban/High-Rise,25m,25m,Binghatti,20m,,361,2023,15m,JVC,,Affordable,,Recently Delivered,0.114835029,7.5,14.5,"750,000",Apartments
Azizi Venice (Master),,,,"1,400","1,660","1,920","2,100",+40%,40,Dubai South,Waterfront/Urban,5m,45m,Azizi Developments,45m,,362,2023,35m,Dubai South,850,Unknown,,Recently Delivered,0.124748968,7,14,Community,Mixed
Monaco Mansions,,,,,"2,200","2,500","2,690",+15%,15,Venice,Waterfront/Luxury,,,Azizi Developments,,,363,2024,,Venice,,Ultra-Luxury,,Under Construction / New,0.105769991,,6.5,"45,000,000",Luxury Villas
Riviera Phase 1,950,"1,070","1,290","1,510","1,730","1,930","2,090",+95% (Since 2020),95,Meydan,Waterfront/Urban,30m,15m,Azizi Developments,10m,,365,2017,20m,Meydan,,Affordable,,Established,0.099132606,6.5,15.5,"600,000",Apartments
Burj Azizi,,,,,"3,800","4,210","4,460",+12%,12,SZR,High-Rise Iconic,35m,15m,Azizi Developments,5m,,364,2024,20m,SZR,,Luxury,,Under Construction / New,0.083367071,,45,"15,000,000",Mixed
Riviera Phase 2,980,"1,090","1,300","1,510","1,710","1,900","2,050",+85% (Since 2020),85,Meydan,Waterfront/Urban,30m,15m,Azizi Developments,10m,,366,2018,20m,Meydan,,Affordable,,Established,0.094911142,6.5,15.5,"700,000",Apartments
Riviera Phase 4,,,"1,360","1,570","1,780","1,980","2,130",+55%,55,Meydan,Waterfront/Urban,30m,15m,Azizi Developments,10m,,368,2021,20m,Meydan,,Affordable,,Established,0.093905487,6.5,15.5,"900,000",Apartments
Riviera Phase 3,"1,000","1,110","1,310","1,500","1,690","1,870","2,000",+75% (Since 2020),75,Meydan,Waterfront/Urban,30m,15m,Azizi Developments,10m,,367,2019,20m,Meydan,,Affordable,,Established,0.087856586,6.5,15.5,"800,000",Apartments
Riviera Rêve,,,"1,500","1,750","2,000","2,240","2,420",+42%,42,Meydan,Waterfront/Luxury,30m,15m,Azizi Developments,10m,,369,2022,20m,Meydan,,Mid-Range,,Recently Delivered,0.1,6.5,18,"1,500,000",Apartments
Riviera Beachfront,,,"1,660","1,920","2,180","2,430","2,640",+48%,48,Meydan,Waterfront/Urban,30m,15m,Azizi Developments,10m,,370,2021,20m,Meydan,,Affordable,,Established,0.10045862,6.5,17.5,"1,200,000",Apartments
Azizi Vista,,,,"1,200","1,370","1,530","1,650",+25%,25,Studio City,Low-Rise Urban,20m,25m,Azizi Developments,20m,,371,2023,15m,Studio City,,Affordable,,Recently Delivered,0.097442282,7.5,14,"600,000",Apartments
Beach Oasis,,,"1,100","1,280","1,470","1,650","1,790",+38%,38,Studio City,Low-Rise Urban,20m,25m,Azizi Developments,20m,,372,2022,15m,Studio City,,Affordable,,Recently Delivered,0.103488593,7.5,14,"550,000",Apartments
Mina,"1,800","2,040","2,500","2,920","3,340","3,720","4,040",+90% (Since 2020),90,Palm Jumeirah,Island/Luxury,35m,25m,Azizi Developments,20m,,373,2016,10m,Palm,,Mid-Range,,Established,0.099809455,5.5,24,"2,500,000",Apartments
Tiger Sky Tower,,,,,"2,000","2,310","2,510",+18%,18,Business Bay,High-Rise Luxury,35m,15m,Tiger Properties,5m,,376,2024,20m,Bus Bay,,Mid-Range,,Under Construction / New,0.120267825,,22,"2,500,000",Apartments
Berton,900,980,"1,130","1,270","1,420","1,550","1,660",+65% (Since 2020),65,Al Furjan,Suburban Urban,15m,30m,Azizi Developments,25m,,374,2018,10m,Furjan,,Affordable,,Established,0.081209547,7,13.5,"700,000",Apartments
Aliyah,"1,200","1,300","1,480","1,650","1,830","1,990","2,110",+55% (Since 2020),55,Healthcare City,Urban/Modern,35m,10m,Azizi Developments,10m,,375,2016,25m,Health City,,Affordable,,Established,0.07378092,,16,"900,000",Apartments
Red Square,,,,"1,200","1,400","1,600","1,740",+35%,35,JVT,High-Rise Urban,20m,25m,Tiger Properties,20m,,378,2023,15m,JVT,,Affordable,,Recently Delivered,0.114835029,7,14,"600,000",Apartments
Nobles Tower,"1,300","1,430","1,690","1,950","2,210","2,460","2,650",+62%,62,Business Bay,High-Rise Urban,35m,15m,Tiger Properties,5m,,377,2020,20m,Bus Bay,,Mid-Range,,Established,0.095031973,,18.5,"1,600,000",Apartments
Lilium Tower,,,,"1,300","1,500","1,700","1,840",+32%,32,JVT,High-Rise Urban,20m,25m,Tiger Properties,20m,,380,2023,15m,JVT,,Affordable,,Recently Delivered,0.107549848,7,14.5,"650,000",Apartments
Renad Tower,,,,,"1,800","2,030","2,170",+15%,15,JVT,High-Rise Urban,50m,60m,Tiger Properties,60m,,379,2024,50m,Abu Dhabi/Mkt,,Affordable,,Under Construction / New,0.097977939,,18,"1,100,000",Apartments
Cloud Tower,,,"1,050","1,250","1,460","1,670","1,830",+52%,52,JVT,High-Rise Urban,20m,25m,Tiger Properties,20m,,382,2022,15m,JVT,,Affordable,,Recently Delivered,0.119564495,7,14.5,"500,000",Apartments
Neva Residences,,,,"1,150","1,340","1,530","1,670",+38%,38,JVC,High-Rise Urban,25m,25m,Tiger Properties,20m,,383,2023,15m,JVC,,Affordable,,Recently Delivered,0.116364034,7.5,14,"600,000",Apartments
Seslia Tower,,,"1,100","1,300","1,510","1,710","1,870",+48%,48,JVT,High-Rise Urban,20m,25m,Tiger Properties,20m,,381,2022,15m,JVT,,Affordable,,Recently Delivered,0.11283898,7,14.5,"550,000",Apartments
Al Tai,,,,,950,"1,050","1,110",+12%,12,Sharjah,Gated/Family,50m,30m,Tiger Properties,35m,,385,2024,45m,Sharjah/Tiger,,Affordable,,Under Construction / New,0.080935268,,2.5,"800,000",Villas
Faradis,,,,,"1,400","1,570","1,680",+14%,14,Al Mamzar,Waterfront/Urban,40m,15m,Tiger Properties,20m,,386,2024,35m,Al Mamzar,,Affordable,,Under Construction / New,0.095445115,,15,"1,200,000",Apartments
Elbrus Tower,,,,"1,200","1,390","1,580","1,710",+35%,35,JVT,High-Rise Urban,20m,25m,Tiger Properties,20m,,384,2023,15m,JVT,,Affordable,,Recently Delivered,0.109150949,7,14.5,"700,000",Apartments
Samana Barari Views,,,,"1,300","1,510","1,720","1,870",+32%,32,Al Barari,Nature/Resort,25m,20m,Samana,20m,,387,2023,25m,Barari,,Affordable,,Recently Delivered,0.11283898,6.5,16.5,"750,000",Apartments
Barari Lagoons,,,,,"1,400","1,610","1,740",+18%,18,Al Barari,Nature/Resort,25m,20m,Samana,20m,,388,2024,25m,Barari,,Affordable,,Under Construction / New,0.114835029,6.5,16.5,"850,000",Apartments
Ocean Bay,,,,,"1,750","2,020","2,200",+18%,18,Dubai Islands,Waterfront/Resort,45m,15m,Samana,20m,,391,2024,30m,Islands,,Affordable,,Under Construction / New,0.121223821,6,18.5,"1,400,000",Apartments
Ivy Gardens 2,,,,,"1,250","1,420","1,520",+15%,15,DLRC,Integrated Urban,25m,20m,Samana,20m,,390,2024,25m,DLRC,850,Affordable,,Under Construction / New,0.1027239,7.5,14.5,"700,000",Apartments
Ivy Gardens 1,,,,"1,100","1,300","1,500","1,640",+35%,35,DLRC,Integrated Urban,25m,20m,Samana,20m,,389,2023,25m,DLRC,850,Affordable,,Recently Delivered,0.123182292,7.5,14.08,"650,000",Apartments
California 1,,,,"1,250","1,460","1,670","1,810",+30%,30,Al Furjan,Suburban Urban,15m,30m,Samana,25m,,392,2023,10m,Furjan,,Affordable,,Recently Delivered,0.113429848,7,14.5,"750,000",Apartments
California 2,,,,,"1,300","1,480","1,590",+15%,15,Al Furjan,Suburban Urban,15m,30m,Samana,25m,,393,2024,10m,Furjan,,Affordable,,Under Construction / New,0.105928082,7,14.5,"800,000",Apartments
Miami 3,,,,"1,500","1,740","1,980","2,140",+30%,30,JVT,Urban/Modern,20m,25m,Samana,20m,,396,2023,15m,JVT,,Affordable,,Recently Delivered,0.109001829,7,15.5,"1,250,000",Apartments
Miami 1,,,"1,400","1,660","1,920","2,180","2,380",+42%,42,JVT,Urban/Modern,20m,25m,Samana,20m,,394,2022,15m,JVT,,Affordable,,Recently Delivered,0.113365768,7,15.5,"1,100,000",Apartments
Miami 2,,,"1,450","1,700","1,960","2,210","2,400",+38%,38,JVT,Urban/Modern,20m,25m,Samana,20m,,395,2022,15m,JVT,,Affordable,,Recently Delivered,0.10656667,7,15.5,"1,200,000",Apartments
Mykonos Signature,,,,"1,250","1,440","1,630","1,760",+28%,28,Studio City,Theme/Modern,20m,25m,Samana,20m,,398,2023,15m,Studio City,,Affordable,,Recently Delivered,0.105541597,7.5,14.5,"850,000",Apartments
Mykonos,,,,"1,200","1,420","1,640","1,800",+35%,35,Studio City,Theme/Modern,20m,25m,Samana,20m,,397,2023,15m,Studio City,,Affordable,,Recently Delivered,0.125879938,7.5,14.5,"750,000",Apartments
Portofino,,,,"1,200","1,390","1,560","1,690",+32%,32,Production City,Integrated Urban,20m,30m,Samana,25m,,400,2023,15m,Production,850,Affordable,,Recently Delivered,0.102645609,8,14.5,"700,000",Apartments
Santorini,,,"1,100","1,310","1,530","1,750","1,920",+45%,45,Studio City,Theme/Modern,20m,25m,Samana,20m,,399,2022,15m,Studio City,,Affordable,,Recently Delivered,0.120224067,7.5,14.5,"650,000",Apartments
Manhattan,,,,"1,250","1,460","1,670","1,810",+35%,35,JVC,Urban/Modern,25m,25m,Samana,20m,,401,2023,15m,JVC,,Affordable,,Recently Delivered,0.113429848,7.5,14.36,"750,000",Apartments
Skyros,,,,"1,150","1,370","1,590","1,730",+38%,38,Arjan,Urban/Modern,20m,25m,Samana,20m,,402,2023,15m,Arjan,,Affordable,,Recently Delivered,0.123732051,7.5,14,"650,000",Apartments
Samana Ibiza,,,,,"1,250","1,380","1,460",+12%,12,DLRC,Integrated Urban,25m,20m,Samana,20m,,404,2024,25m,DLRC,850,Affordable,,Under Construction / New,0.080740487,7.5,14.5,"720,000",Apartments
Lake Views,,,,,"1,200","1,360","1,460",+15%,15,Production City,Integrated Urban,20m,30m,Samana,25m,,403,2024,15m,Production,850,Affordable,,Under Construction / New,0.103026141,8,14.5,"700,000",Apartments
Samana Rome,,,,,"1,100,000","1,450","1,520",+14%,14,Meydan,Urban/Modern,30m,15m,Samana,10m,,405,2024,20m,Meydan,,Affordable,,Under Construction / New,,6.5,14.5,"1,100,000",Apartments
Samana Avenue,,,,,"690,000","1,280","1,340",+15%,15,DLRC,Integrated Urban,25m,20m,Samana,20m,,406,2024,25m,DLRC,850,Affordable,,Under Construction / New,,7.5,14.5,"690,000",Apartments
MAG City,950,"1,070","1,310","1,540","1,770","1,980","2,150",+90% (Since 2020),90,Meydan,Gated/Urban,30m,15m,Mag Group,10m,,408,2019,20m,Meydan,,Affordable,,Established,0.102129423,6.5,15.5,"750,000",Mixed
Keturah Reserve,,,"2,100","2,610","3,130","3,640","4,020",+55%,55,Meydan,Wellness/Luxury,30m,15m,Mag Group,10m,,407,2022,20m,Meydan,,Luxury,,Recently Delivered,0.133289481,6.5,5.5,"10,000,000",Luxury Villas
MAG Park,,,"1,250","1,480","1,710","1,920","2,090",+45%,45,Meydan,Gated/Urban,30m,15m,Mag Group,10m,,409,2022,20m,Meydan,,Luxury,,Recently Delivered,0.105541597,6.5,4.5,"8,500,000",Townhouses
Keturah Resort,,,"4,500","5,690","6,840","7,990","8,890",+60%,60,Creekside,Wellness/Ultra,35m,15m,Mag Group,10m,,410,2022,25m,Creekside,,Ultra-Luxury,,Recently Delivered,0.140047193,,35,"21,000,000",Branded Apt
Ritz-Carlton,,,,"5,500","6,520","7,530","8,300",+42%,42,Creekside,Wellness/Ultra,35m,15m,Mag Group,10m,,411,2023,25m,Creekside,,Ultra-Luxury,,Recently Delivered,0.128275735,,55,"25,000,000",Mansions
MAG 777,,,,,"1,200","1,360","1,460",+15%,15,Sports City,Urban/Modern,20m,25m,Mag Group,20m,,412,2024,15m,Sports City,900,Affordable,,Under Construction / New,0.103026141,8,14.5,"900,000",Apartments
MBL Residence,"1,250","1,370","1,590","1,790","2,000","2,200","2,350",+65% (Since 2020),65,JLT,Urban/High-Rise,,,Mag Group,,,414,2017,,JLT,,Affordable,,Established,0.083974169,,16.5,"1,100,000",Apartments
MAG 330,,,"1,100","1,280","1,470","1,640","1,770",+42%,42,City of Arabia,Urban/Modern,25m,20m,Mag Group,20m,,413,2022,25m,City of Arabia,,Affordable,,Recently Delivered,0.097306535,,14.5,"650,000",Apartments
MBL Royal,,,"1,450","1,690","1,930","2,160","2,340",+38%,38,JLT,Urban/High-Rise,,,Mag Group,,,415,2022,,JLT,,Affordable,,Recently Delivered,0.101106368,,16.5,"1,400,000",Apartments
MBL Signature,,,,,"1,700","1,910","2,040",+15%,15,JLT,Urban/High-Rise,,,Mag Group,,,416,2024,,JLT,,Mid-Range,,Under Construction / New,0.095445115,,16.5,"1,650,000",Apartments
MAG 318,"1,350","1,470","1,690","1,900","2,110","2,300","2,450",+55% (Since 2020),55,Business Bay,Urban/High-Rise,35m,15m,Mag Group,5m,,417,2017,20m,Bus Bay,,Affordable,,Established,0.077560876,,18.5,"1,200,000",Apartments
Mar Casa,,,,"1,800","2,100","2,410","2,620",+35%,35,Maritime City,Waterfront/Modern,40m,15m,Deyaar,15m,,419,2023,25m,Maritime,,Affordable,,Recently Delivered,0.116968687,6,19.5,"1,300,000",Apartments
MAG 218,"1,150","1,220","1,360","1,490","1,620","1,750","1,850",+35% (Since 2020),35,Marina,High-Rise Urban,25m,25m,Mag Group,20m,,418,2005,0m,Marina,,Unknown,,Established,0.068632448,6.5,16.1,Community,Apartments
Regalia,,,"1,780","2,110","2,440","2,750","3,000",+58%,58,Business Bay,High-Rise Luxury,35m,15m,Deyaar,5m,,420,2021,20m,Bus Bay,,Affordable,,Established,0.108831906,,21,"1,100,000",Apartments
Midtown (Master),850,910,"1,040","1,160","1,290","1,410","1,500",+50% (Since 2020),50,Production City,Integrated Urban,20m,30m,Deyaar,25m,,421,2015,15m,IMPZ,,Unknown,,Established,0.078327732,,11.5,Community,Apartments
Jannat,,,,"1,150","1,330","1,500","1,620",+30%,30,Midtown,Integrated Urban,,,Deyaar,,,422,2023,,Midtown,,Affordable,,Recently Delivered,0.103650811,,12,"850,000",Apartments
Millennium Talia,,,,"1,350","1,540","1,720","1,850",+25%,25,Al Furjan,Suburban Luxury,15m,30m,Deyaar,25m,,425,2023,10m,Furjan,,Affordable,,Recently Delivered,0.096037728,7,18.5,"1,100,000",Serviced Apt
Rosalia Residences,,,,,"1,300","1,500","1,630",+18%,18,Al Furjan,Suburban Urban,15m,30m,Deyaar,25m,,423,2024,10m,Furjan,,Affordable,,Under Construction / New,0.11975272,7,14.5,"900,000",Apartments
Amalia Residences,,,"1,150","1,340","1,530","1,710","1,850",+32%,32,Al Furjan,Suburban Urban,15m,30m,Deyaar,25m,,424,2022,10m,Furjan,,Affordable,,Recently Delivered,0.099613717,7,14.5,"850,000",Apartments
Fia,,,,,"1,250","1,410","1,510",+15%,15,Town Square,Integrated Urban,25m,30m,Nshama,25m,,427,2024,25m,Town Square,950,Affordable,,Under Construction / New,0.099090533,7,13.5,"880,000",Apartments
Town Square,750,840,"1,050","1,240","1,440","1,620","1,770",+95% (Since 2020),95,Al Qudra Rd,Master Community,25m,25m,Nshama,25m,,426,2015,25m,Dubailand,,Unknown,,Established,0.108677891,7,3.5,Community,Mixed
Ayala,,,,"1,150","1,360","1,560","1,700",+28%,28,Town Square,Integrated Urban,25m,30m,Nshama,25m,,429,2023,25m,Town Square,950,Affordable,,Recently Delivered,0.118033989,7,13.5,"850,000",Apartments
Symphony,,,,"1,200","1,430","1,650","1,810",+32%,32,Town Square,Integrated Urban,25m,30m,Nshama,25m,,430,2023,25m,Town Square,950,Affordable,,Recently Delivered,0.125048562,7,13.5,"800,000",Apartments
Elaya,,,,,"1,280","1,430","1,530",+14%,14,Town Square,Integrated Urban,25m,30m,Nshama,25m,,428,2024,25m,Town Square,950,Affordable,,Under Construction / New,0.09330348,7,13.5,"900,000",Apartments
Aroha,,,,,"1,350","1,490","1,580",+12%,12,Town Square,Integrated Urban,25m,30m,Nshama,25m,,431,2024,25m,Town Square,950,Affordable,,Under Construction / New,0.081836573,7,13.5,"950,000",Apartments
The Hamilton,,,,"1,150","1,340","1,520","1,650",+30%,30,Town Square,Integrated Urban,25m,30m,Nshama,25m,,432,2023,25m,Town Square,950,Affordable,,Recently Delivered,0.109659084,7,13.5,"800,000",Apartments
The Diplomat,,,"1,050","1,240","1,430","1,610","1,760",+42%,42,Town Square,Integrated Urban,25m,30m,Nshama,25m,,434,2022,25m,Town Square,950,Affordable,,Recently Delivered,0.109400392,7,13.5,"750,000",Apartments
Holland Gardens,,,,"1,200","1,380","1,550","1,670",+25%,25,Town Square,Integrated Urban,25m,30m,Nshama,25m,,433,2023,25m,Town Square,950,Affordable,,Recently Delivered,0.100065874,7,13.5,"850,000",Apartments
Liva,,,"1,100","1,310","1,530","1,740","1,910",+48%,48,Town Square,Integrated Urban,25m,30m,Nshama,25m,,435,2022,25m,Town Square,950,Affordable,,Recently Delivered,0.117303009,7,13.5,"550,000",Apartments
Zahra,880,990,"1,230","1,460","1,700","1,920","2,100",+88% (Since 2020),88,Town Square,Integrated Urban,25m,30m,Nshama,25m,,438,2015,25m,Town Square,950,Affordable,,Established,0.11143786,7,13.5,"600,000",Apartments
Una,900,"1,010","1,240","1,460","1,680","1,890","2,060",+85% (Since 2020),85,Town Square,Integrated Urban,25m,30m,Nshama,25m,,436,2018,25m,Town Square,950,Affordable,,Established,0.107334853,7,13.5,"500,000",Apartments
Rawda,Zahra,850,950,"1,150","1,340","1,530","1,710",+80% (Since 2020),80,Nshama,Apartments,25m,30m,Zahra,25m,,437,2016,25m,Town Square,950,Affordable,,Established,0.12965455,7,"1,850","650,000",Town Square
Hayat,920,"1,040","1,310","1,570","1,840","2,090","2,300",+92% (Since 2020),92,Town Square,Integrated Urban,25m,30m,Nshama,25m,,439,2015,25m,Town Square,950,Affordable,,Established,0.118033989,7,3.5,"1,100,000",Townhouses
Verdana Phase 1,,,"1,150","1,360","1,570","1,770","1,930",+45%,45,DIP,Integrated Urban,15m,35m,Reportage,30m,,440,2022,20m,DIP,800,Affordable,,Recently Delivered,0.108737734,7.5,3.5,"1,200,000",Townhouses
Verdana Phase 4,,,,"1,300","1,490","1,660","1,780",+28%,28,DIP,Integrated Urban,15m,35m,Reportage,30m,,443,2023,20m,DIP,800,Affordable,,Recently Delivered,0.092991707,7.5,3.5,"1,400,000",Townhouses
Verdana Phase 3,,,,"1,250","1,460","1,660","1,800",+35%,35,DIP,Integrated Urban,15m,35m,Reportage,30m,,442,2023,20m,DIP,800,Affordable,,Recently Delivered,0.110349815,7.5,3.5,"1,300,000",Townhouses
Verdana Phase 2,,,"1,180","1,380","1,590","1,780","1,930",+42%,42,DIP,Integrated Urban,15m,35m,Reportage,30m,,441,2022,20m,DIP,800,Affordable,,Recently Delivered,0.101742474,7.5,3.5,"1,250,000",Townhouses
Verdana Phase 5,,,,,"1,350","1,520","1,620",+15%,15,DIP,Integrated Urban,15m,35m,Reportage,30m,,444,2024,20m,DIP,800,Mid-Range,,Under Construction / New,0.095445115,7.5,3.5,"1,500,000",Townhouses
Rukan Lofts,750,830,990,"1,150","1,310","1,460","1,580",+75% (Since 2020),75,Dubailand,Gated/Family,25m,25m,Reportage,25m,,445,2018,25m,Dubailand,,Affordable,,Established,0.09822897,7,3.2,"800,000",Townhouses
Rukan Tower,800,900,"1,100","1,300","1,510","1,710","1,870",+85% (Since 2020),85,Dubailand,Gated/Family,25m,25m,Reportage,25m,,446,2019,25m,Dubailand,,Unknown,,Established,0.11283898,7,12.5,"450,000",Apartments
Alexis Tower,850,940,"1,110","1,270","1,430","1,580","1,700",+70% (Since 2020),70,Downtown Jebel Ali,Urban/Modern,15m,35m,Reportage,30m,,449,2019,15m,Jebel Ali,900,Affordable,,Established,0.090326185,7,13.5,"500,000",Apartments
Taormina Village,,,,,"1,450","1,670","1,810",+18%,18,Dubailand,Gated/Family,25m,25m,Reportage,25m,,448,2024,25m,Dubailand,,Mid-Range,,Under Construction / New,0.117262665,7,3.8,"1,700,000",Townhouses
Bianchi,,,,"1,200","1,390","1,580","1,710",+32%,32,Dubailand,Gated/Family,25m,25m,Reportage,25m,,447,2023,25m,Dubailand,,Mid-Range,,Recently Delivered,0.109150949,7,3.5,"1,600,000",Townhouses
The Gate,800,870,"1,000","1,120","1,250","1,360","1,450",+55%,55,Masdar City,Urban/Sustain,50m,60m,Reportage,60m,,450,2020,50m,Masdar/City,,Affordable,,Established,0.077032961,,14.5,"600,000",Apartments
LIV LUX,,,"2,100","2,610","3,120","3,630","4,000",+55%,55,Marina,High-Rise Luxury,25m,25m,LIV Developers,20m,,451,2022,0m,Marina,,Mid-Range,,Recently Delivered,0.132277034,6.5,25,"2,100,000",Apartments
LIV Residence,"1,400","1,560","1,880","2,170","2,480","2,770","3,000",+75% (Since 2020),75,Marina,Waterfront/Modern,25m,25m,LIV Developers,20m,,453,2016,0m,Marina,,Affordable,,Established,0.099853363,6.5,22,"1,400,000",Apartments
LIV Waterside,,,,"2,300","2,690","3,070","3,340",+35%,35,Marina,Waterfront/Luxury,25m,25m,LIV Developers,20m,,454,2023,0m,Marina,,Mid-Range,,Recently Delivered,0.114287076,6.5,25,"2,500,000",Luxury Villas
LIV Marina,,,"2,020","2,390","2,770","3,120","3,410",+60%,60,Marina,High-Rise Urban,25m,25m,LIV Developers,20m,,452,2022,0m,Marina,,Mid-Range,,Recently Delivered,0.109525543,6.5,24,"1,600,000",Apartments
LIV Maritime,,,,,"1,850","2,140","2,330",+18%,18,Maritime City,Waterfront/Modern,40m,15m,LIV Developers,15m,,455,2024,25m,Maritime,,Mid-Range,,Under Construction / New,0.122256414,6,22,"1,800,000",Apartments
LIV Oceanside,,,,,"1,950","2,210","2,380",+15%,15,Maritime City,Waterfront/Modern,40m,15m,LIV Developers,15m,,456,2024,25m,Maritime,,Mid-Range,,Under Construction / New,0.10476822,6,22,"1,950,000",Apartments
